step,sg_loss,cbow_loss,var_loss,lr
26950,3.354442,3.464656,2.429769,0.024992
27000,3.275560,3.317176,2.377033,0.024992
27050,3.279896,3.425843,2.378454,0.024992
27100,3.263880,3.374339,2.376815,0.024992
27150,3.293452,3.402122,2.393701,0.024992
27200,3.302240,3.504165,2.412834,0.024992
27250,3.319861,3.569579,2.432372,0.024992
27300,3.346662,3.525063,2.437940,0.024992
27350,3.237774,3.265217,2.322090,0.024992
27400,3.356326,3.554063,2.452873,0.024992
27450,3.294089,3.490867,2.418802,0.024992
27500,3.320795,3.530358,2.437564,0.024991
27550,3.229898,3.408408,2.372320,0.024991
27600,3.158666,3.152227,2.307596,0.024991
27650,3.302210,3.456685,2.417505,0.024991
27700,3.331233,3.528596,2.430049,0.024991
27750,3.218171,3.374215,2.361942,0.024991
27800,3.270822,3.425128,2.385270,0.024991
27850,3.331686,3.522324,2.422659,0.024991
27900,3.169871,3.257547,2.323744,0.024991
27950,3.254258,3.445282,2.386559,0.024991
28000,3.263779,3.418949,2.387857,0.024991
28050,3.185536,3.276913,2.327758,0.024991
28100,3.250247,3.411837,2.387724,0.024991
28150,3.233668,3.351387,2.362297,0.024991
28200,3.034718,3.054990,2.247249,0.024991
28250,3.223058,3.394804,2.348360,0.024991
28300,3.253227,3.436979,2.382448,0.024991
28350,3.284459,3.513883,2.411366,0.024991
28400,3.265459,3.405978,2.382060,0.024991
28450,3.230967,3.406542,2.371364,0.024991
28500,3.336806,3.548886,2.441386,0.024991
28550,3.276941,3.466854,2.400284,0.024991
28600,3.238599,3.443668,2.388514,0.024991
28650,3.235028,3.353606,2.357572,0.024991
28700,3.234015,3.357351,2.365896,0.024991
28750,3.314421,3.505206,2.418847,0.024991
28800,3.238715,3.414122,2.381503,0.024991
28850,3.257885,3.326041,2.373645,0.024990
28900,3.276348,3.405011,2.391452,0.024990
28950,3.267363,3.354187,2.374634,0.024990
29000,3.322840,3.506988,2.420914,0.024990
29050,3.279271,3.454494,2.396937,0.024990
29100,3.295177,3.453615,2.404865,0.024990
29150,3.306020,3.446987,2.411739,0.024990
29200,3.236750,3.394521,2.375379,0.024990
29250,3.321879,3.492082,2.418830,0.024990
29300,3.196772,3.285852,2.316367,0.024990
29350,3.236817,3.426040,2.378364,0.024990
29400,3.199220,3.372961,2.358102,0.024990
29450,3.280816,3.459564,2.394299,0.024990
29500,3.322358,3.478781,2.415520,0.024990
29550,3.298110,3.435576,2.407692,0.024990
29600,3.407988,3.572252,2.460953,0.024990
29650,3.383376,3.563847,2.454800,0.024990
